size,size
$\mu m$,$1/\mu m^4$
0.0,3.854060569589105e-10
5.005273466998839,3.611749283207549e-10
10.010546933997677,3.384672515964373e-10
15.015820400996516,3.171872447954268e-10
20.021093867995354,2.9724514790243596e-10
25.02636733499419,2.785568442656838e-10
30.03164080199303,2.6104350578911677e-10
35.03691426899187,2.446312604319931e-10
40.04218773599071,2.292508806133289e-10
45.047461202989545,2.1483749120688204e-10
50.05273466998838,2.013302958949838e-10
55.058008136987226,1.8867232072696665e-10
60.06328160398606,1.7681017380050592e-10
65.0685550709849,1.656938200522007e-10
70.07382853798374,1.5527637020745076e-10
75.07910200498257,1.455138829994105e-10
80.08437547198142,1.3636517982277058e-10
85.08964893898026,1.277916710405693e-10
90.09492240597909,1.1975719321138713e-10
95.10019587297793,1.1222785655034198e-10
100.10546933997676,1.0517190198046936e-10
105.11074280697561,9.855956717152277e-11
110.11601627397445,9.236296100114097e-11
115.12128974097328,8.655594590885296e-11
120.12656320797213,8.11140276466855e-11
125.13183667497097,7.60142519613353e-11
130.1371101419698,7.123510777210771e-11
135.14238360896863,6.675643643622147e-11
140.1476570759675,6.25593467187565e-11
145.15293054296632,5.862613510858513e-11
150.15820400996515,5.4940211144174083e-11
155.163477476964,5.148602743428017e-11
160.16875094396283,4.8249014078362245e-11
165.17402441096166,4.521551721009268e-11
170.17929787796052,4.237274140474174e-11
175.18457134495935,3.970869570750699e-11
180.18984481195818,3.721214305513246e-11
185.19511827895704,3.487255287747602e-11
190.20039174595587,3.26800566790961e-11
195.2056652129547,3.0625406413498896e-11
200.21093867995353,2.8699935474466922e-11
205.2162121469524,2.6895522139928385e-11
210.22148561395122,2.5204555314172328e-11
215.22675908095005,2.3619902423908257e-11
220.2320325479489,2.213487933275475e-11
225.23730601494773,2.0743222147254896e-11
230.24257948194656,1.943906079549503e-11
235.24785294894542,1.8216894266880283e-11
240.25312641594425,1.707156740862721e-11
245.25839988294308,1.59982491811e-11
250.26367334994194,1.499241228027041e-11
255.26894681694077,1.4049814041348e-11
260.2742202839396,1.3166478543031318e-11
265.27949375093846,1.2338679836894942e-11
270.28476721793726,1.1562926231173352e-11
275.2900406849361,1.0835945562649663e-11
280.295314151935,1.0154671394525701e-11
285.3005876189338,9.516230082055145e-12
290.30586108593263,8.917928651382122e-12
295.3111345529315,8.357243440457757e-12
300.3164080199303,7.831809454121359e-12
305.32168148692915,7.33941038844562e-12
310.326954953928,6.8779692822680835e-12
315.3322284209268,6.445539756476568e-12
320.33750188792567,6.040297804095465e-12
325.3427753549245,5.66053409654322e-12
330.3480488219233,5.304646773608315e-12
335.3533222889222,4.971134686731633e-12
340.35859575592104,4.658591067095071e-12
345.36386922291985,4.365697591808106e-12
350.3691426899187,4.091218823163151e-12
355.37441615691756,3.833996997504402e-12
360.37968962391636,3.5929471417292112e-12
365.3849630909152,3.367052496823263e-12
370.3902365579141,3.155360229125858e-12
375.3955100249129,2.956977411235113e-12
380.40078349191174,2.771067255600488e-12
385.4060569589106,2.596845584915651e-12
390.4113304259094,2.4335775244237374e-12
395.41660389290826,2.28057440218292e-12
400.42187735990706,2.137190844217534e-12
405.4271508269059,2.0028220523019347e-12
410.4324242939048,1.8769012528946815e-12
415.4376977609036,1.7588973064625278e-12
420.44297122790243,1.648312467110243e-12
425.4482446949013,1.5446802830662786e-12
430.4535181619001,1.4475636291684614e-12
435.45879162889895,1.3565528630505945e-12
440.4640650958978,1.2712640972527556e-12
445.4693385628966,1.191337579966899e-12
450.47461202989547,1.1164361775877328e-12
455.4798854968943,1.046243952668177e-12
460.4851589638931,9.80464831281151e-13
465.490432430892,9.18821354166587e-13
470.49570589789084,8.610535063959206e-13
475.50097936488964,8.069176206175638e-13
480.5062528318885,7.561853492571707e-13
485.51152629888736,7.086427013374138e-13
490.51679976588616,6.640891398545247e-13
495.522073232885,6.223367359042857e-13
500.5273466998839,5.8320937598956e-13
505.5326201668827,5.465420191657199e-13
510.53789363388154,5.121800008906051e-13
515.5431671008804,4.799783806426027e-13
520.5484405678792,4.498013305550779e-13
525.553714034878,4.215215624883932e-13
530.5589875018769,3.9501979112287003e-13
535.5642609688757,3.7018423080800955e-13
540.5695344358745,3.469101240456404e-13
545.5748079028734,3.250992996181332e-13
550.5800813698722,3.0465975849784125e-13
555.585354836871,2.8550528579110425e-13
560.59062830387,2.675550870799943e-13
565.5959017708687,2.5073344762786876e-13
570.6011752378676,2.3496941301123884e-13
575.6064487048665,2.2019648983085845e-13
580.6117221718653,2.0635236523960772e-13
585.6169956388641,1.9337864410413092e-13
590.622269105863,1.8122060269156713e-13
595.6275425728618,1.6982695784241093e-13
600.6328160398606,1.591496506558642e-13
605.6380895068595,1.4914364377525361e-13
610.6433629738583,1.3976673141845934e-13
615.6486364408571,1.3097936135204575e-13
620.653909907856,1.2274446805818324e-13
625.6591833748548,1.1502731639064487e-13
630.6644568418536,1.0779535506041428e-13
635.6697303088525,1.0101807933290008e-13
640.6750037758513,9.466690235760957e-14
645.6802772428501,8.871503458754109e-14
650.685550709849,8.313737077968248e-14
655.6908241768479,7.791038409998101e-14
660.6960976438467,7.301202688610868e-14
665.7013711108456,6.842163764944351e-14
670.7066445778444,6.411985392399026e-14
675.7119180448432,6.00885305946385e-14
680.7171915118421,5.631066336025895e-14
685.7224649788409,5.277031700880616e-14
690.7277384458397,4.945255820188389e-14
695.7330119128386,4.634339248526026e-14
700.7382853798374,4.3429705259637317e-14
705.7435588468362,4.0699206462687536e-14
710.7488323138351,3.8140378729024326e-14
715.7541057808339,3.574242880944255e-14
720.7593792478327,3.3495242044513106e-14
725.7646527148316,3.138933970049957e-14
730.7699261818304,2.941583898763805e-14
735.7751996488292,2.756641559213415e-14
740.7804731158282,2.5833268563837496e-14
745.785746582827,2.4209087411487025e-14
750.7910200498258,2.2687021266733517e-14
755.7962935168247,2.1260649986872167e-14
760.8015669838235,1.9923957074395143e-14
765.8068404508223,1.867130429913733e-14
770.8121139178212,1.7497407915970742e-14
775.81738738482,1.6397316377732762e-14
780.8226608518188,1.5366389449379523e-14
785.8279343188177,1.4400278635268467e-14
790.8332077858165,1.3494908837010007e-14
795.8384812528153,1.2646461164521462e-14
800.8437547198141,1.185135682777871e-14
805.849028186813,1.1106242041320603e-14
810.8543016538118,1.0407973877832941e-14
815.8595751208106,9.753607011140903e-15
820.8648485878095,9.140381292692553e-15
825.8701220548083,8.565710109129291e-15
830.8753955218071,8.027169471835695e-15
835.8806689888061,7.522487792447713e-15
840.8859424558049,7.049536301191855e-15
845.8912159228037,6.606320067639676e-15
850.8964893898026,6.190969586002388e-15
855.9017628568014,5.801732889472422e-15
860.9070363238002,5.4369681603493045e-15
865.9123097907991,5.09513680477975e-15
870.9175832577979,4.774796962900246e-15
875.9228567247967,4.474597427008036e-15
880.9281301917956,4.193271942106927e-15
885.9334036587944,3.92963386478736e-15
890.9386771257932,3.682571157911777e-15
895.9439505927921,3.4510416999924418e-15
900.9492240597909,3.2340688894767268e-15
905.9544975267897,3.0307375253982395e-15
910.9597709937887,2.8401899470184834e-15
915.9650444607875,2.66162241617571e-15
920.9703179277863,2.4942817270815874e-15
925.9755913947852,2.3374620292656837e-15
930.980864861784,2.1905018502667877e-15
935.9861383287828,2.052781305512634e-15
940.9914117957817,1.923719483619206e-15
945.9966852627805,1.8027719960807003e-15
951.0019587297793,1.68942868101455e-15
956.0072321967782,1.5832114512759504e-15
961.012505663777,1.4836722778649861e-15
966.0177791307758,1.3903913001204017e-15
971.0230525977747,1.3029750547286433e-15
976.0283260647735,1.2210548160781024e-15
981.0335995317723,1.144285040958089e-15
986.0388729987712,1.0723419110421788e-15
991.04414646577,1.0049219670081429e-15
996.0494199327688,9.417408285329917e-16
1001.0546933997678,8.8253199476414755e-16
1006.0599668667666,8.270457202069779e-16
1011.0652403337654,7.750479612872002e-16
1016.0705138007643,7.263193891446695e-16
1021.0757872677631,6.806544644944904e-16
1026.0810607347619,6.378605706531734e-16
1031.0863342017608,5.977572010728849e-16
1036.0916076687595,5.601751979568193e-16
1041.0968811357584,5.249560387440631e-16
1046.1021546027573,4.919511674544034e-16
1051.107428069756,4.61021368072582e-16
1056.112701536755,4.3203617732894864e-16
1061.1179750037538,4.0487333439959905e-16
1066.1232484707525,3.794182652047695e-16
1071.1285219377514,3.555635991302742e-16
1076.1337954047503,3.332087161334823e-16
1081.139068871749,3.122593223234999e-16
1086.144342338748,2.926270522253396e-16
1091.1496158057469,2.7422909605042533e-16
1096.1548892727455,2.5698785040121353e-16
1101.1601627397445,2.408305909366094e-16
1106.1654362067434,2.256891656174681e-16
1111.170709673742,2.1149970723825577e-16
1116.175983140741,1.982023640323371e-16
1121.18125660774,1.8574104721456246e-16
